x,y
100.633981,33.897263
102.619896,32.996130
104.061116,35.169890
107.001284,34.571005
108.186590,36.887380
111.233427,36.417508
112.548635,38.335070
115.193223,37.806632
116.560207,38.850540
118.841254,37.994394
120.002826,39.219902
122.022081,39.174808
122.203661,41.093518
124.271832,40.448817
124.476477,42.293488
126.449823,41.913436
126.803696,43.760158
128.881592,43.878811
128.882454,46.180428
131.046519,46.363066
130.756355,48.827618
133.136218,49.070070
132.373189,51.525895
134.683607,51.910305
133.868453,54.258208
135.645500,54.999874
135.043180,56.954723
136.853587,57.996287
136.103864,60.633807
138.023878,61.631592
136.973495,63.979103
138.915434,64.130079
137.695307,65.796252
138.999704,65.785053
137.749079,66.734893
139.395372,66.185859
138.119775,66.775401
139.742879,66.086337
138.171716,66.749340
139.823467,66.015806
138.118813,66.794463
139.994030,65.898079
138.218151,66.726226
140.087192,65.852524
138.035734,66.862251
139.878296,66.028420
137.876951,66.970135
139.939689,65.947595
137.862388,66.982722
139.780661,66.056656
138.057283,66.856638
139.939687,65.954954
138.072946,66.904499
140.002732,65.897833
138.177406,66.828698
140.019423,65.875333
138.590175,66.664986
139.915570,66.541811
139.531650,67.612535
140.367489,68.846856
141.511621,69.299938
141.523139,71.026478
143.160395,70.698272
142.666290,72.510153
144.273708,71.654704
143.494596,73.061090
144.642849,72.194830
143.934290,73.244750
144.751512,72.641591
144.131706,73.521850
145.104002,72.930143
144.258688,73.884921
145.173362,73.431462
144.070219,74.536050
145.436067,73.894034
144.337959,75.015784
145.975229,74.657306
144.482896,76.167179
146.686669,75.915252
145.616598,77.299571
147.438325,77.205935
146.203179,78.990432
147.747772,79.234022
146.899943,81.324256
148.310867,82.030773
147.682793,84.360109
148.554629,85.829873
148.198630,88.111913
148.509870,89.907241
148.242494,91.782667
148.348900,93.053938
148.264661,94.003405
148.411430,94.422380
148.451639,94.725301
148.592590,94.844188
148.649653,94.955588
148.767381,94.959069
148.789933,95.001147
148.877657,94.947533
